tick,eye_x,eye_y,eye_z,yaw,pitch,hit,distance_m,verb,prompt_key,entity
166,128.4439,20.7804,131.9003,3.1667,0.0000,0,0.0000,0,0,4294967295
167,128.4415,20.7739,131.9303,3.1667,0.0000,0,0.0000,0,0,4294967295
168,128.4391,20.7669,131.9602,3.1667,0.0000,0,0.0000,0,0,4294967295
169,128.4369,20.7595,131.9902,3.1667,0.0000,0,0.0000,0,0,4294967295
170,128.4349,20.7518,132.0201,3.1667,0.0000,0,0.0000,0,0,4294967295
171,128.4329,20.7439,132.0501,3.1667,0.0000,0,0.0000,0,0,4294967295
172,128.4312,20.7361,132.0800,3.1667,0.0000,0,0.0000,0,0,4294967295
173,128.4296,20.7288,132.1100,3.1667,0.0000,0,0.0000,0,0,4294967295
174,128.4282,20.7217,132.1400,3.1667,0.0000,0,0.0000,0,0,4294967295
175,128.4270,20.7154,132.1699,3.1667,0.0000,0,0.0000,0,0,4294967295
176,128.4259,20.7096,132.1999,3.1667,0.0000,0,0.0000,0,0,4294967295
177,128.4251,20.7044,132.2299,3.1667,0.0000,0,0.0000,0,0,4294967295
178,128.4245,20.6999,132.2599,3.1667,0.0000,0,0.0000,0,0,4294967295
179,128.4240,20.6960,132.2899,3.1667,0.0000,0,0.0000,0,0,4294967295
180,128.4238,20.6921,132.3199,3.1667,0.0000,0,0.0000,0,0,4294967295
181,128.4237,20.6872,132.3499,3.1667,0.0000,0,0.0000,0,0,4294967295
182,128.4238,20.6828,132.3799,3.1667,0.0000,0,0.0000,0,0,4294967295
183,128.4241,20.6787,132.4099,3.1667,0.0000,0,0.0000,0,0,4294967295
184,128.4245,20.6749,132.4399,3.1667,0.0000,0,0.0000,0,0,4294967295
185,128.4251,20.6712,132.4699,3.1667,0.0000,0,0.0000,0,0,4294967295
186,128.4258,20.6676,132.4999,3.1667,0.0000,0,0.0000,0,0,4294967295
187,128.4267,20.6638,132.5300,3.1667,0.0000,0,0.0000,0,0,4294967295
188,128.4276,20.6589,132.5600,3.1667,0.0000,0,0.0000,0,0,4294967295
189,128.4287,20.6522,132.5900,3.1667,0.0000,0,0.0000,0,0,4294967295
190,128.4298,20.6448,132.6200,3.1667,0.0000,0,0.0000,0,0,4294967295
191,128.4310,20.6368,132.6501,3.1667,0.0000,0,0.0000,0,0,4294967295
192,128.4323,20.6283,132.6801,3.1667,0.0000,0,0.0000,0,0,4294967295
193,128.4335,20.6191,132.7101,3.1667,0.0000,0,0.0000,0,0,4294967295
194,128.4348,20.6093,132.7402,3.1667,0.0000,0,0.0000,0,0,4294967295
195,128.4354,20.6068,132.7697,3.1667,0.0000,0,0.0000,0,0,4294967295
196,128.4401,20.5881,132.7989,3.1669,0.0000,0,0.0000,0,0,4294967295
197,128.4405,20.5852,132.8289,3.1672,0.0000,0,0.0000,0,0,4294967295
198,128.4404,20.5705,132.8589,3.1672,0.0000,0,0.0000,0,0,4294967295
199,128.4402,20.5628,132.8889,3.1673,0.0000,0,0.0000,0,0,4294967295
200,128.4401,20.5544,132.9189,3.1673,0.0000,0,0.0000,0,0,4294967295
201,128.4402,20.5455,132.9489,3.1673,0.0000,0,0.0000,0,0,4294967295
202,128.4404,20.5364,132.9789,3.1673,0.0000,0,0.0000,0,0,4294967295
203,128.4406,20.5275,133.0089,3.1673,0.0000,0,0.0000,0,0,4294967295
204,128.4409,20.5188,133.0389,3.1673,0.0000,0,0.0000,0,0,4294967295
205,128.4413,20.5100,133.0689,3.1673,0.0000,0,0.0000,0,0,4294967295
206,128.4416,20.5012,133.0989,3.1673,0.0000,0,0.0000,0,0,4294967295
207,128.4419,20.4925,133.1290,3.1673,0.0000,0,0.0000,0,0,4294967295
208,128.4421,20.4839,133.1590,3.1673,0.0000,0,0.0000,0,0,4294967295
209,128.4423,20.4755,133.1890,3.1673,0.0000,0,0.0000,0,0,4294967295
210,128.4423,20.4673,133.2190,3.1673,0.0000,0,0.0000,0,0,4294967295
211,128.4422,20.4594,133.2490,3.1673,0.0000,0,0.0000,0,0,4294967295
212,128.4420,20.4517,133.2790,3.1673,0.0000,0,0.0000,0,0,4294967295
213,128.4417,20.4443,133.3090,3.1673,0.0000,0,0.0000,0,0,4294967295
214,128.4411,20.4373,133.3389,3.1673,0.0000,0,0.0000,0,0,4294967295
215,128.4404,20.4308,133.3689,3.1673,0.0000,0,0.0000,0,0,4294967295
216,128.4395,20.4248,133.3989,3.1673,0.0000,0,0.0000,0,0,4294967295
217,128.4385,20.4191,133.4289,3.1673,0.0000,0,0.0000,0,0,4294967295
